Ticker,Window,Total Return %,Max Drawdown %,Win Rate %,Trades,2021,2022,2023,2024,2025,2026
ADS.DE,Buy & Hold,-38.92,-71.54,—,0,-18.82,-48.72,45.09,28.98,-27.95,8.84
ADS.DE,"Pre-Drift [-5,-1]",25.91,-14.63,60.0,20,10.42,11.34,8.28,2.76,2.55,-10.25
ADS.DE,"Announcement [-1,+1]",-31.69,-40.69,45.0,20,-12.27,5.15,8.74,0.59,-33.3,1.51
ADS.DE,"PEAD-Short [+1,+5]",0.01,-16.32,60.0,20,1.84,16.98,-0.67,-4.08,-11.3,-0.67
ADS.DE,"PEAD-Long [+1,+20]",3.97,-22.29,55.0,20,-9.05,-12.29,21.23,2.75,-3.94,8.93
ADS.DE,"Full [-5,+5]",-13.98,-50.91,55.0,20,-1.34,36.95,16.95,-0.86,-39.33,-9.5
AIR.DE,Buy & Hold,92.8,-27.72,—,0,0.88,1.13,27.57,12.18,31.15,0.69
ALV.DE,Buy & Hold,157.18,-27.52,—,0,-0.62,1.9,26.98,28.82,37.66,12.77
ALV.DE,"Pre-Drift [-5,-1]",6.19,-4.15,57.9,19,-8.89,6.01,-1.01,1.1,7.51,2.17
ALV.DE,"Announcement [-1,+1]",5.63,-10.47,52.6,19,-2.46,0.89,1.78,0.06,5.19,0.18
ALV.DE,"PEAD-Short [+1,+5]",4.39,-7.82,68.4,19,4.12,-5.11,3.82,5.67,4.23,-7.59
ALV.DE,"PEAD-Long [+1,+20]",15.96,-18.08,42.1,19,6.55,-11.47,1.9,26.44,3.93,-8.19
ALV.DE,"Full [-5,+5]",17.09,-15.85,57.9,19,-7.47,1.5,4.6,6.9,17.88,-5.41
BAS.DE,Buy & Hold,0.18,-39.76,—,0,-7.8,-19.48,13.17,-6.74,10.23,16.0
BAS.DE,"Pre-Drift [-5,-1]",-5.06,-16.73,65.0,20,0.98,-15.08,1.69,1.03,5.4,2.24
BAS.DE,"Announcement [-1,+1]",-11.42,-11.71,60.0,20,-2.03,-1.88,-4.65,-3.05,-0.39,0.08
BAS.DE,"PEAD-Short [+1,+5]",-21.33,-21.13,45.0,20,-0.25,-12.76,1.32,-2.76,-0.77,-7.53
BAS.DE,"PEAD-Long [+1,+20]",1.17,-13.48,45.0,20,-1.56,-1.35,-9.93,10.09,4.37,0.68
BAS.DE,"Full [-5,+5]",-33.83,-33.92,40.0,20,-1.31,-27.3,-1.76,-4.76,4.18,-5.39
BAYN.DE,Buy & Hold,5.54,-70.42,—,0,-7.24,6.2,-27.5,-42.34,92.54,33.1
BAYN.DE,"Pre-Drift [-5,-1]",-5.64,-7.67,40.0,20,-2.56,-1.93,1.71,-0.85,3.25,-5.16
BAYN.DE,"Announcement [-1,+1]",-51.03,-53.99,30.0,20,-3.29,-13.0,-11.86,-26.89,-5.65,-4.27
BAYN.DE,"PEAD-Short [+1,+5]",12.05,-8.53,50.0,20,-0.24,6.53,0.29,-0.67,1.5,4.27
BAYN.DE,"PEAD-Long [+1,+20]",42.9,-27.06,60.0,20,-9.54,31.75,-26.37,9.74,51.77,-2.23
BAYN.DE,"Full [-5,+5]",-48.22,-46.13,30.0,20,-5.99,-9.11,-10.09,-28.0,-1.12,-5.34
BEI.DE,Buy & Hold,-20.26,-53.28,—,0,-11.48,19.5,27.32,-7.94,-23.81,-15.58
BMW.DE,Buy & Hold,-7.25,-41.22,—,0,3.5,1.37,31.15,-16.78,24.43,-34.91
BMW.DE,"Pre-Drift [-5,-1]",-22.46,-21.02,35.0,20,-1.82,-2.45,-6.4,-1.06,-8.13,-4.84
BMW.DE,"Announcement [-1,+1]",-2.9,-15.64,50.0,20,-2.54,-5.76,3.32,-12.21,8.21,7.71
BMW.DE,"PEAD-Short [+1,+5]",26.27,-12.93,65.0,20,3.47,19.99,4.09,-4.44,10.77,-7.69
BMW.DE,"PEAD-Long [+1,+20]",32.33,-20.56,65.0,20,-3.3,23.72,12.67,4.37,-3.85,-2.16
BMW.DE,"Full [-5,+5]",-4.92,-23.42,55.0,20,-0.99,10.31,0.67,-17.0,10.12,-5.39
BNR.DE,Buy & Hold,-16.33,-44.66,—,0,-3.87,-23.38,43.28,-28.21,-11.23,24.4
BNR.DE,"Pre-Drift [-5,-1]",8.45,-13.24,68.4,19,3.98,-9.77,3.92,5.33,4.64,0.93
BNR.DE,"Announcement [-1,+1]",9.09,-19.63,57.9,19,-3.59,17.84,3.36,-19.63,9.72,5.35
BNR.DE,"PEAD-Short [+1,+5]",-16.75,-17.57,36.8,19,-1.26,-3.99,-0.95,-2.1,-7.01,-2.62
BNR.DE,"PEAD-Long [+1,+20]",-10.57,-24.46,42.1,19,-6.93,-12.2,10.69,-3.33,-12.55,16.95
BNR.DE,"Full [-5,+5]",-1.51,-17.12,63.2,19,-1.02,2.09,6.39,-17.12,6.76,3.54
CBK.DE,Buy & Hold,689.05,-38.73,—,0,22.04,32.1,24.42,49.9,135.54,11.42
CBK.DE,"Pre-Drift [-5,-1]",36.45,-12.66,89.5,19,6.06,9.13,4.96,-8.67,19.34,3.04
CBK.DE,"Announcement [-1,+1]",-8.07,-19.88,47.4,19,-0.81,8.11,-10.48,0.46,1.86,-6.42
CBK.DE,"PEAD-Short [+1,+5]",56.47,-6.98,68.4,19,11.22,5.48,9.85,-4.03,27.01,-0.41
CBK.DE,"PEAD-Long [+1,+20]",43.49,-26.17,63.2,19,-1.27,-6.93,15.94,-2.81,41.68,-2.19
CBK.DE,"Full [-5,+5]",96.27,-21.64,73.7,19,17.01,24.45,3.22,-11.94,54.4,-3.96
CON.DE,Buy & Hold,13.51,-58.02,—,0,-9.69,-37.12,41.81,-11.64,44.73,10.23
CON.DE,"Pre-Drift [-5,-1]",-14.01,-20.51,40.0,20,1.38,-0.14,2.26,-8.05,-3.03,-6.84
CON.DE,"Announcement [-1,+1]",26.01,-15.54,60.0,20,-0.36,9.68,11.75,10.07,-10.94,5.26
CON.DE,"PEAD-Short [+1,+5]",26.82,-17.11,70.0,20,7.48,6.1,-7.06,4.19,18.37,-2.97
CON.DE,"PEAD-Long [+1,+20]",-3.26,-35.24,55.0,20,-11.09,-10.14,-2.67,10.61,17.8,-4.52
CON.DE,"Full [-5,+5]",37.41,-19.02,65.0,20,8.56,16.21,6.2,5.45,2.22,-4.86
DTG.DE,Buy & Hold,72.62,-37.82,—,0,8.45,-10.36,22.56,13.57,6.37,19.93
DTG.DE,"Pre-Drift [-5,-1]",3.65,-11.4,61.1,18,,3.1,9.06,4.04,-8.31,-3.37
DTG.DE,"Announcement [-1,+1]",16.23,-11.99,50.0,18,,8.71,-11.99,3.42,7.13,9.65
DTG.DE,"PEAD-Short [+1,+5]",-16.55,-23.1,55.6,18,,4.18,0.09,-3.35,-7.57,-10.41
DTG.DE,"PEAD-Long [+1,+20]",-17.17,-29.38,55.6,18,,-9.12,1.91,6.62,-17.45,1.62
DTG.DE,"Full [-5,+5]",0.53,-24.64,44.4,18,,16.76,-3.93,3.99,-9.21,-5.08
DBK.DE,Buy & Hold,256.56,-46.36,—,0,8.06,-1.83,20.54,38.52,104.51,-1.56
DBK.DE,"Pre-Drift [-5,-1]",-1.68,-20.62,55.0,20,4.73,-6.08,-15.01,7.66,14.89,-4.92
