Ticker,Window,Total Return %,Max Drawdown %,Win Rate %,Trades,2021,2022,2023,2024,2025,2026
AAPL,Buy & Hold,157.97,-33.36,—,0,43.3,-26.4,49.01,30.71,9.05,15.17
AAPL,"Pre-Drift [-5,-1]",10.97,-9.06,50.0,20,1.51,-4.0,4.36,-3.56,10.9,2.03
AAPL,"Announcement [-1,+1]",22.01,-11.54,65.0,20,-2.07,16.08,5.67,4.7,-7.53,4.92
AAPL,"PEAD-Short [+1,+5]",5.47,-15.53,60.0,20,2.43,-8.16,-1.29,0.98,3.1,9.1
AAPL,"PEAD-Long [+1,+20]",51.06,-13.51,68.4,19,8.35,-11.66,14.53,13.33,19.33,1.91
AAPL,"Full [-5,+5]",42.81,-7.89,65.0,20,1.83,2.35,8.85,1.96,5.72,16.79
AMGN,Buy & Hold,68.62,-24.86,—,0,-2.13,20.43,13.46,-6.77,29.67,4.3
AMGN,"Pre-Drift [-5,-1]",-11.92,-15.74,40.0,20,-1.48,-4.69,-11.59,3.18,8.1,-4.87
AMGN,"Announcement [-1,+1]",14.53,-10.21,50.0,20,-1.0,3.05,2.89,0.4,4.83,3.67
AMGN,"PEAD-Short [+1,+5]",6.25,-9.69,45.0,20,-3.09,1.51,7.24,2.65,-1.24,-0.64
AMGN,"PEAD-Long [+1,+20]",6.54,-15.15,57.9,19,-7.59,11.19,-3.12,-12.42,17.18,4.29
AMGN,"Full [-5,+5]",7.2,-10.78,40.0,20,-5.48,-0.3,-2.45,6.34,11.92,-2.02
AMZN,Buy & Hold,70.26,-56.15,—,0,3.59,-49.62,80.88,44.39,5.21,18.71
AMZN,"Pre-Drift [-5,-1]",4.91,-9.57,50.0,20,-1.45,-2.11,1.29,6.61,2.74,-1.98
AMZN,"Announcement [-1,+1]",-10.94,-18.57,50.0,20,-8.88,-6.1,13.14,0.98,-1.12,-7.87
AMZN,"PEAD-Short [+1,+5]",2.48,-20.5,55.0,20,4.6,-13.81,0.56,9.24,5.1,-1.54
AMZN,"PEAD-Long [+1,+20]",2.76,-30.35,60.0,20,3.56,-24.12,13.7,13.57,-3.36,4.79
AMZN,"Full [-5,+5]",-4.24,-31.11,60.0,20,-6.07,-20.77,15.24,17.6,6.78,-11.08
AXP,Buy & Hold,104.46,-31.55,—,0,0.41,-8.52,28.67,60.32,25.99,-14.36
AXP,"Pre-Drift [-5,-1]",39.74,-4.36,75.0,20,1.47,7.6,5.7,10.6,8.09,1.29
AXP,"Announcement [-1,+1]",11.24,-16.77,40.0,20,3.76,11.35,0.69,6.45,-3.25,-7.15
AXP,"PEAD-Short [+1,+5]",19.61,-6.78,65.0,20,-5.83,5.69,-3.43,3.1,15.28,4.7
AXP,"PEAD-Long [+1,+20]",13.65,-16.76,60.0,20,-11.9,1.9,0.98,22.67,18.95,-14.08
AXP,"Full [-5,+5]",85.93,-12.89,55.0,20,-0.85,26.62,2.77,21.4,20.55,-1.53
BA,Buy & Hold,-10.19,-54.67,—,0,-20.97,-5.38,36.84,-32.1,22.67,5.37
BA,"Pre-Drift [-5,-1]",-7.41,-20.32,40.0,20,-3.06,-10.74,-1.15,-0.35,11.24,-2.35
BA,"Announcement [-1,+1]",-13.65,-22.44,40.0,20,3.24,-16.54,9.64,-4.4,-7.98,3.9
BA,"PEAD-Short [+1,+5]",15.26,-12.78,55.0,20,0.44,22.98,3.05,-5.51,3.75,-7.63
BA,"PEAD-Long [+1,+20]",15.41,-20.85,40.0,20,-3.31,6.48,13.62,-2.29,11.59,-9.51
BA,"Full [-5,+5]",-7.84,-19.3,50.0,20,0.52,-8.38,11.68,-9.98,6.2,-6.29
CAT,Buy & Hold,299.89,-34.05,—,0,-13.91,18.6,25.95,24.66,60.3,55.61
CAT,"Pre-Drift [-5,-1]",2.52,-10.62,55.0,20,-1.03,8.18,-2.53,-1.36,3.5,-3.78
CAT,"Announcement [-1,+1]",12.79,-12.65,50.0,20,0.4,-2.3,0.27,-3.41,5.79,12.23
CAT,"PEAD-Short [+1,+5]",9.92,-6.68,50.0,20,1.35,2.66,-4.11,12.19,-5.48,3.89
CAT,"PEAD-Long [+1,+20]",37.26,-9.34,57.9,19,1.05,3.42,0.2,17.08,-0.93,13.0
CAT,"Full [-5,+5]",27.1,-13.54,50.0,20,0.7,8.5,-6.28,6.89,3.5,12.18
CRM,Buy & Hold,-24.32,-58.62,—,0,7.59,-47.83,98.46,27.76,-20.25,-33.33
CRM,"Pre-Drift [-5,-1]",8.62,-14.81,60.0,20,3.32,5.73,7.8,-0.79,-5.67,-1.45
CRM,"Announcement [-1,+1]",4.26,-21.75,45.0,20,-12.59,2.06,29.81,-9.93,-5.54,5.83
CRM,"PEAD-Short [+1,+5]",-24.74,-31.53,31.6,19,6.37,-22.67,-5.84,-3.09,3.6,-3.2
CRM,"PEAD-Long [+1,+20]",-19.3,-27.91,47.4,19,5.01,-20.66,0.77,9.6,-3.85,-8.78
CRM,"Full [-5,+5]",-13.2,-33.89,47.4,19,-3.93,-16.56,31.77,-13.41,-7.69,2.82
CSCO,Buy & Hold,160.13,-36.68,—,0,22.09,-22.46,9.3,21.0,33.47,55.68
CSCO,"Pre-Drift [-5,-1]",34.8,-4.87,75.0,20,-1.07,4.21,3.06,3.76,6.15,15.2
CSCO,"Announcement [-1,+1]",5.48,-20.28,60.0,20,-3.8,-7.19,1.78,2.99,11.43,1.13
CSCO,"PEAD-Short [+1,+5]",11.29,-4.76,55.0,20,7.32,2.87,-0.77,0.25,-2.26,3.68
CSCO,"PEAD-Long [+1,+20]",16.75,-12.32,73.7,19,12.57,-5.23,12.25,-0.74,-5.25,3.65
CSCO,"Full [-5,+5]",58.22,-15.46,55.0,20,2.15,-0.51,4.08,7.13,15.6,20.78
CVX,Buy & Hold,110.7,-24.95,—,0,12.81,58.46,-13.63,1.29,10.1,22.38
CVX,"Pre-Drift [-5,-1]",17.34,-13.57,60.0,20,4.05,14.87,-1.69,-2.26,-4.66,7.17
CVX,"Announcement [-1,+1]",-8.54,-13.56,50.0,20,0.32,3.96,-10.14,1.65,-5.05,1.12
CVX,"PEAD-Short [+1,+5]",5.63,-12.12,70.0,20,0.5,7.29,-5.21,-2.41,7.88,-1.84
CVX,"PEAD-Long [+1,+20]",45.86,-17.96,57.9,19,-0.22,27.25,-12.76,4.18,14.89,10.01
CVX,"Full [-5,+5]",13.37,-21.97,60.0,20,4.9,28.14,-16.26,-3.04,-2.35,6.38
DIS,Buy & Hold,-40.63,-57.33,—,0,-13.39,-43.91,4.26,24.44,3.3,-8.82
DIS,"Pre-Drift [-5,-1]",14.5,-13.0,65.0,20,3.76,-13.0,10.16,8.05,6.0,0.52
DIS,"Announcement [-1,+1]",-4.31,-22.85,45.0,20,-5.87,-2.74,-0.69,7.88,-2.37,-0.08
DIS,"PEAD-Short [+1,+5]",12.2,-6.39,50.0,20,-7.15,18.04,-2.67,0.92,5.02,-0.76
DIS,"PEAD-Long [+1,+20]",-28.4,-40.23,42.1,19,-4.07,-11.82,-21.62,-2.54,11.79,-0.88
DIS,"Full [-5,+5]",22.92,-17.24,40.0,20,-9.31,-0.11,6.48,17.64,8.68,-0.33
DOW,Buy & Hold,-35.78,-64.37,—,0,-17.57,-6.65,14.71,-22.79,-37.38,50.48
DOW,"Pre-Drift [-5,-1]",3.17,-12.43,40.0,20,-1.63,10.04,-5.89,-3.86,10.5,-4.67
DOW,"Announcement [-1,+1]",-6.46,-22.53,50.0,20,-1.87,6.95,-2.62,-2.03,-5.43,-1.21
DOW,"PEAD-Short [+1,+5]",18.26,-13.0,60.0,20,0.88,5.46,9.83,-1.61,-11.57,16.33
DOW,"PEAD-Long [+1,+20]",-8.97,-33.69,45.0,20,0.01,18.93,5.56,-7.09,-25.56,4.84
DOW,"Full [-5,+5]",14.12,-25.12,65.0,20,-2.62,24.12,0.65,-7.33,-7.59,9.55
GS,Buy & Hold,196.32,-32.84,—,0,1.05,-7.87,15.91,52.03,56.64,15.32
GS,"Pre-Drift [-5,-1]",30.86,-7.95,60.0,20,2.46,2.2,13.46,0.16,5.15,4.58
GS,"Announcement [-1,+1]",19.38,-8.83,65.0,20,4.05,2.77,-7.5,8.09,8.04,3.35
GS,"PEAD-Short [+1,+5]",9.48,-5.6,55.0,20,-2.43,3.58,1.53,0.55,7.31,-1.11
GS,"PEAD-Long [+1,+20]",158.7,-10.68,70.0,20,6.65,33.99,6.71,23.88,40.12,-2.27
GS,"Full [-5,+5]",71.04,-14.43,65.0,20,4.02,8.79,6.54,8.87,21.92,6.88
HD,Buy & Hold,14.75,-34.73,—,0,33.11,-21.98,12.77,15.0,-9.33,-6.03
HD,"Pre-Drift [-5,-1]",-8.58,-17.12,45.0,20,1.19,9.0,-4.01,-1.05,-8.19,-4.96
HD,"Announcement [-1,+1]",-1.42,-15.18,65.0,20,2.12,-8.98,1.97,6.18,-5.09,3.2
HD,"PEAD-Short [+1,+5]",9.11,-6.43,60.0,20,4.5,1.88,-2.55,1.83,3.29,-0.02
HD,"PEAD-Long [+1,+20]",14.93,-15.72,57.9,19,8.07,-3.45,12.21,12.75,-1.84,-11.3
HD,"Full [-5,+5]",-1.66,-13.78,50.0,20,7.99,1.08,-4.61,6.99,-9.99,-1.93
HON,Buy & Hold,17.73,-27.13,—,0,-9.75,4.9,0.02,10.02,-6.37,20.68
HON,"Pre-Drift [-5,-1]",4.07,-10.08,55.0,20,2.79,12.61,-6.25,0.27,2.47,-6.64
HON,"Announcement [-1,+1]",-17.79,-26.98,35.0,20,-4.56,7.95,-4.39,-13.74,-4.94,1.78
HON,"PEAD-Short [+1,+5]",-0.43,-6.75,40.0,20,2.49,-0.87,-0.79,-1.47,-2.98,3.34
HON,"PEAD-Long [+1,+20]",46.93,-9.95,60.0,20,0.59,11.42,-1.02,14.43,1.91,13.58
HON,"Full [-5,+5]",-14.81,-31.46,45.0,20,0.54,20.49,-11.07,-14.78,-5.49,-1.81
IBM,Buy & Hold,133.09,-30.96,—,0,-0.61,10.64,21.85,39.27,38.23,-9.63
IBM,"Pre-Drift [-5,-1]",6.39,-4.51,50.0,20,-0.58,-0.15,0.48,1.73,1.64,3.15
IBM,"Announcement [-1,+1]",-1.02,-15.47,55.0,20,-8.92,12.6,0.23,-0.47,1.72,-4.89
IBM,"PEAD-Short [+1,+5]",-3.58,-11.84,45.0,20,-0.51,-0.13,3.18,-11.84,16.14,-8.14
IBM,"PEAD-Long [+1,+20]",8.4,-26.34,55.0,20,1.19,11.02,11.41,4.04,7.85,-22.8
IBM,"Full [-5,+5]",1.54,-19.28,50.0,20,-9.91,12.28,3.91,-10.74,20.08,-9.88
JNJ,Buy & Hold,60.49,-18.41,—,0,4.64,5.97,-8.58,-4.81,47.48,12.76
JNJ,"Pre-Drift [-5,-1]",3.8,-6.13,50.0,20,0.37,-2.28,-2.08,0.31,5.69,1.94
JNJ,"Announcement [-1,+1]",14.94,-6.95,60.0,20,3.21,3.59,2.7,0.41,3.81,0.43
JNJ,"PEAD-Short [+1,+5]",20.54,-5.24,75.0,20,2.51,7.48,-0.99,3.23,8.37,-1.24
JNJ,"PEAD-Long [+1,+20]",8.54,-13.42,50.0,20,3.54,-3.72,-9.15,-0.35,13.26,6.18
JNJ,"Full [-5,+5]",43.82,-7.24,70.0,20,6.2,8.8,-0.42,3.98,18.89,1.11
JPM,Buy & Hold,102.77,-38.77,—,0,-3.51,-12.64,30.63,44.29,37.27,-7.02
JPM,"Pre-Drift [-5,-1]",24.28,-3.91,75.0,20,0.76,1.35,6.06,-0.12,12.32,2.28
JPM,"Announcement [-1,+1]",-3.95,-14.77,50.0,20,-2.94,-7.82,14.31,-2.73,4.35,-7.47
JPM,"PEAD-Short [+1,+5]",9.44,-5.16,60.0,20,0.86,6.85,-4.29,4.55,1.12,0.37
JPM,"PEAD-Long [+1,+20]",82.55,-6.41,75.0,20,5.28,17.19,-3.15,19.23,27.37,0.61
JPM,"Full [-5,+5]",30.65,-13.9,55.0,20,-1.36,-0.18,16.04,1.56,18.51,-5.0
KO,Buy & Hold,68.83,-17.27,—,0,9.57,10.61,-4.43,8.88,15.6,15.81
KO,"Pre-Drift [-5,-1]",9.84,-2.86,65.0,20,-1.05,1.77,2.85,1.06,2.48,2.41
KO,"Announcement [-1,+1]",23.49,-3.1,60.0,20,4.06,2.92,2.03,-2.39,9.85,5.39
KO,"PEAD-Short [+1,+5]",10.48,-2.48,70.0,20,0.93,1.92,1.25,5.2,0.2,0.63
KO,"PEAD-Long [+1,+20]",1.16,-8.18,55.0,20,-1.04,-0.59,-2.49,1.34,1.81,2.21
KO,"Full [-5,+5]",49.87,-6.59,80.0,20,3.92,6.75,6.25,3.78,12.8,8.61
MCD,Buy & Hold,32.78,-19.04,—,0,16.2,0.51,15.06,0.14,7.89,-8.54
MCD,"Pre-Drift [-5,-1]",-11.81,-15.54,45.0,20,2.98,-4.16,-0.16,-8.06,-0.12,-2.55
MCD,"Announcement [-1,+1]",23.16,-4.17,60.0,20,2.86,14.3,0.35,-0.16,5.73,-1.12
MCD,"PEAD-Short [+1,+5]",5.62,-2.53,55.0,20,-1.85,1.94,4.85,1.85,0.63,-1.78
MCD,"PEAD-Long [+1,+20]",11.03,-9.13,52.6,19,2.5,-2.22,1.34,3.44,7.76,-1.92
MCD,"Full [-5,+5]",14.71,-6.51,55.0,20,3.97,11.68,5.06,-6.51,6.28,-5.35
MMM,Buy & Hold,7.53,-54.07,—,0,-11.2,-29.63,-3.33,46.12,26.36,-3.6
MMM,"Pre-Drift [-5,-1]",-10.24,-13.01,45.0,20,0.47,-0.56,-8.37,-1.71,0.59,-0.84
MMM,"Announcement [-1,+1]",11.93,-13.68,45.0,20,-3.92,2.03,1.78,5.88,18.45,-10.55
MMM,"PEAD-Short [+1,+5]",16.47,-2.95,75.0,20,3.51,5.86,1.83,0.79,1.97,1.57
MMM,"PEAD-Long [+1,+20]",15.03,-17.16,55.0,20,0.46,-3.87,-7.96,4.87,13.86,8.39
MMM,"Full [-5,+5]",17.01,-15.53,50.0,20,-0.08,7.41,-5.04,4.89,21.5,-9.91
MRK,Buy & Hold,95.61,-43.44,—,0,9.75,49.42,1.01,-6.26,9.79,14.74
MRK,"Pre-Drift [-5,-1]",27.11,-3.2,70.0,20,2.82,6.77,1.78,3.71,7.87,1.69
MRK,"Announcement [-1,+1]",-7.78,-22.68,45.0,20,5.97,0.93,-3.68,-6.97,-8.81,5.51
MRK,"PEAD-Short [+1,+5]",-10.4,-11.5,40.0,20,1.12,-7.9,6.12,-4.47,-4.25,-0.87
MRK,"PEAD-Long [+1,+20]",34.57,-10.93,57.9,19,-10.45,11.15,4.1,3.1,23.93,1.65
MRK,"Full [-5,+5]",5.03,-24.17,45.0,20,10.17,-0.76,4.04,-7.83,-5.81,6.36
MSFT,Buy & Hold,79.84,-37.15,—,0,36.45,-28.02,58.19,12.93,15.58,-11.32
MSFT,"Pre-Drift [-5,-1]",17.2,-7.25,55.0,20,3.45,-0.38,-6.11,1.42,11.3,7.29
MSFT,"Announcement [-1,+1]",-17.36,-24.12,40.0,20,3.85,-1.88,5.27,-11.11,1.14,-14.31
MSFT,"PEAD-Short [+1,+5]",4.7,-11.02,50.0,20,3.41,4.43,5.25,-1.37,-3.71,-3.01
MSFT,"PEAD-Long [+1,+20]",22.03,-18.25,60.0,20,10.89,-4.77,17.68,11.8,-9.89,-2.53
MSFT,"Full [-5,+5]",1.4,-21.53,50.0,20,11.1,2.08,4.03,-11.07,8.39,-10.82
NKE,Buy & Hold,-62.09,-74.64,—,0,24.34,-29.04,-6.01,-29.11,-13.83,-25.15
NKE,"Pre-Drift [-5,-1]",0.41,-14.41,55.0,20,-0.25,7.39,2.09,-1.86,-2.34,-4.21
NKE,"Announcement [-1,+1]",-41.21,-49.3,40.0,20,13.78,-12.66,-8.4,-29.45,5.11,-12.9
NKE,"PEAD-Short [+1,+5]",-4.39,-13.89,50.0,20,-0.74,10.76,-6.02,-3.26,-1.02,-3.36
NKE,"PEAD-Long [+1,+20]",-2.25,-34.44,55.0,20,1.76,25.56,2.11,-11.97,-14.42,-0.54
NKE,"Full [-5,+5]",-43.56,-56.31,25.0,20,12.65,3.89,-12.11,-33.03,1.61,-19.37
NVDA,Buy & Hold,1220.61,-66.34,—,0,80.92,-50.26,239.02,171.25,38.92,14.89
NVDA,"Pre-Drift [-5,-1]",-8.07,-15.56,50.0,20,1.27,7.27,-2.52,-2.6,-11.06,0.22
NVDA,"Announcement [-1,+1]",56.35,-16.06,50.0,20,6.71,0.24,41.51,12.52,-3.77,-4.61
NVDA,"PEAD-Short [+1,+5]",-8.23,-25.45,40.0,20,15.74,-5.57,3.67,-11.44,-5.36,-3.37
NVDA,"PEAD-Long [+1,+20]",1.2,-39.02,47.4,19,0.71,-26.42,6.81,31.91,0.28,-3.35
NVDA,"Full [-5,+5]",31.9,-42.24,45.0,20,25.07,1.54,43.02,-2.94,-19.0,-7.62
PG,Buy & Hold,24.71,-23.77,—,0,24.65,-5.05,-0.86,17.25,-12.26,3.31
PG,"Pre-Drift [-5,-1]",9.43,-2.83,60.0,20,-0.06,5.77,-0.62,3.97,1.23,-1.03
PG,"Announcement [-1,+1]",12.47,-9.04,60.0,20,0.91,2.5,6.74,-1.66,-2.49,6.24
PG,"PEAD-Short [+1,+5]",6.03,-4.33,45.0,20,1.45,0.55,-0.34,7.91,-2.43,-0.93
PG,"PEAD-Long [+1,+20]",22.01,-13.37,55.0,20,5.2,-3.31,-5.71,15.92,5.3,4.22
PG,"Full [-5,+5]",30.5,-8.03,80.0,20,2.32,9.01,5.72,10.32,-3.69,4.16
SHW,Buy & Hold,12.84,-42.46,—,0,24.94,-31.96,32.73,9.9,-3.83,-5.38
SHW,"Pre-Drift [-5,-1]",1.7,-10.16,50.0,20,5.4,-1.5,2.45,-4.38,-0.16,0.15
SHW,"Announcement [-1,+1]",7.39,-11.1,55.0,20,3.21,9.96,-6.21,-3.63,9.13,-4.07
SHW,"PEAD-Short [+1,+5]",12.61,-6.39,45.0,20,1.45,-3.34,8.3,6.71,-0.71,0.08
SHW,"PEAD-Long [+1,+20]",44.36,-14.97,60.0,20,9.15,-6.05,6.94,20.99,8.83,-0.03
SHW,"Full [-5,+5]",22.97,-7.66,65.0,20,10.36,4.69,4.06,-1.67,8.18,-3.85
TRV,Buy & Hold,101.88,-18.9,—,0,-1.11,22.42,3.93,28.76,22.38,1.83
TRV,"Pre-Drift [-5,-1]",12.59,-5.07,50.0,20,-3.41,4.35,5.38,9.93,-1.74,-1.86
TRV,"Announcement [-1,+1]",22.68,-12.18,70.0,20,4.2,-1.26,4.62,3.45,6.13,3.8
TRV,"PEAD-Short [+1,+5]",12.74,-3.4,65.0,20,-0.54,1.74,0.37,0.84,6.38,3.47
TRV,"PEAD-Long [+1,+20]",65.48,-6.49,70.0,20,4.85,23.57,-3.3,5.57,17.16,6.79
TRV,"Full [-5,+5]",55.72,-6.99,80.0,20,0.11,4.82,10.66,14.69,10.94,5.4
UNH,Buy & Hold,2.47,-61.39,—,0,24.75,6.94,0.8,-2.41,-33.14,16.78
UNH,"Pre-Drift [-5,-1]",12.26,-5.85,65.0,20,0.88,-3.81,0.83,6.13,1.06,6.98
UNH,"Announcement [-1,+1]",-26.93,-50.74,50.0,20,7.34,5.68,4.02,8.54,-37.57,-8.62
UNH,"PEAD-Short [+1,+5]",-12.54,-17.64,40.0,20,2.35,-0.84,-1.72,-3.21,-9.66,0.28
UNH,"PEAD-Long [+1,+20]",-4.15,-31.37,65.0,20,3.35,-1.32,4.79,15.28,-26.9,6.43
UNH,"Full [-5,+5]",-28.26,-53.11,50.0,20,10.84,0.79,3.08,11.5,-43.01,-1.98
V,Buy & Hold,48.85,-28.6,—,0,-4.08,-3.4,26.31,22.32,11.76,-6.96
V,"Pre-Drift [-5,-1]",2.53,-6.79,60.0,20,3.27,-4.48,-2.42,0.88,5.48,0.1
V,"Announcement [-1,+1]",13.49,-7.74,50.0,20,-8.96,18.28,1.63,-3.44,0.9,6.44
V,"PEAD-Short [+1,+5]",-7.29,-6.04,45.0,20,-6.94,-1.34,-0.94,5.67,-1.9,-1.65
V,"PEAD-Long [+1,+20]",7.34,-19.49,50.0,20,-12.47,-6.79,1.7,21.28,9.16,-2.28
V,"Full [-5,+5]",7.87,-10.44,45.0,20,-12.51,11.47,-1.77,2.93,4.4,4.78
WMT,Buy & Hold,168.39,-25.74,—,0,2.93,-0.46,12.88,73.99,24.49,7.15
WMT,"Pre-Drift [-5,-1]",-5.04,-6.73,40.0,20,-0.19,-2.36,0.88,-0.59,0.02,-2.86
WMT,"Announcement [-1,+1]",-17.5,-18.42,50.0,20,-4.44,-3.62,-10.4,22.55,-8.63,-10.72
WMT,"PEAD-Short [+1,+5]",13.01,-6.37,57.9,19,2.59,-1.69,-4.12,11.25,3.86,1.16
WMT,"PEAD-Long [+1,+20]",31.18,-12.97,52.6,19,-0.03,-1.09,4.33,29.05,0.08,-1.54
WMT,"Full [-5,+5]",-2.48,-21.95,47.4,19,-2.15,-7.48,-13.34,35.54,-5.08,-3.38
