Event Type,Window,Total Return %,Max Drawdown %,Win Rate %,Events,2021,2022,2023,2024,2025,2026
—,Buy & Hold,61.82,-26.4,—,0,2.22,-12.35,20.31,18.85,23.01,2.68
CPI,"Pre [-2,-1]",4.33,-5.72,56.7,60,-3.06,4.08,4.38,0.04,1.52,-2.46
CPI,"Day-of [-1,+1]",1.78,-9.95,48.3,60,-2.74,-5.9,8.4,-2.04,0.1,4.63
CPI,"Post-Short [+1,+3]",4.71,-8.75,58.3,60,3.16,-0.62,1.32,-2.61,0.81,2.68
CPI,"Post-Long [+1,+10]",36.46,-14.94,60.0,60,10.0,-2.15,8.7,7.03,9.64,-0.61
CPI,"Full [-2,+5]",5.58,-19.27,56.7,60,0.62,-5.15,9.68,-3.0,-2.83,7.01
UNEMP,"Pre [-2,-1]",3.54,-7.49,60.0,60,2.02,-5.17,3.03,5.77,-0.64,-1.16
UNEMP,"Day-of [-1,+1]",-1.36,-7.93,45.0,60,-0.79,-2.78,3.25,-3.53,-2.33,5.12
UNEMP,"Post-Short [+1,+3]",-1.61,-16.96,51.7,60,-0.25,-9.12,3.1,-1.76,4.21,2.82
UNEMP,"Post-Long [+1,+10]",38.78,-9.75,58.3,60,6.41,5.91,12.7,4.45,9.29,-4.29
UNEMP,"Full [-2,+5]",13.95,-15.11,60.0,60,7.32,-4.18,5.39,3.27,-2.28,4.19
GDP,"Pre [-2,-1]",3.25,-2.95,55.0,20,0.39,2.79,1.55,-1.15,2.06,-2.33
GDP,"Day-of [-1,+1]",3.58,-2.48,50.0,20,0.24,1.17,0.47,-2.48,2.04,2.16
GDP,"Post-Short [+1,+3]",4.6,-6.55,70.0,20,1.77,1.98,2.15,-2.65,-1.66,3.05
GDP,"Post-Long [+1,+10]",29.02,-4.14,70.0,20,4.49,10.22,2.74,0.93,7.7,0.3
GDP,"Full [-2,+5]",8.69,-8.15,60.0,20,3.47,1.82,4.06,-6.05,4.56,0.92
ECB,"Pre [-2,-1]",9.07,-4.32,50.0,40,-0.31,7.74,-2.84,2.73,4.77,-2.89
ECB,"Day-of [-1,+1]",-4.16,-11.12,57.5,40,1.85,-11.12,5.63,1.69,1.01,-2.43
ECB,"Post-Short [+1,+3]",4.7,-9.28,47.5,40,0.9,2.36,-1.76,-0.77,-3.15,7.37
ECB,"Post-Long [+1,+10]",29.54,-8.79,60.0,40,6.48,3.4,2.05,-2.18,10.96,6.22
ECB,"Full [-2,+5]",6.92,-15.46,50.0,40,5.33,-4.77,-0.16,1.42,6.12,-0.81
