Event Type,Window,Total Return %,Max Drawdown %,Win Rate %,Events,2021,2022,2023,2024,2025,2026
—,Buy & Hold,46.55,-21.94,—,0,5.1,-8.78,13.7,12.88,12.97,5.42
CPI,"Pre [-2,-1]",20.02,-5.42,58.3,60,0.49,-0.65,3.48,2.62,13.32,-0.09
CPI,"Day-of [-1,+1]",0.12,-14.18,51.7,60,0.57,-8.47,5.91,2.18,3.01,-2.45
CPI,"Post-Short [+1,+3]",2.07,-9.16,50.0,60,0.69,3.6,-2.73,-0.03,2.11,-1.45
CPI,"Post-Long [+1,+10]",6.39,-16.38,55.0,60,0.91,1.69,-11.18,3.0,10.99,2.11
CPI,"Full [-2,+5]",9.22,-14.02,53.3,60,-4.89,-8.02,4.31,4.98,15.57,-1.35
NFP,"Pre [-2,-1]",-15.29,-17.93,35.0,60,1.58,-8.1,0.88,-3.22,-5.79,-1.34
NFP,"Day-of [-1,+1]",-1.92,-12.1,56.7,60,2.15,-7.65,10.1,-2.13,-4.23,0.76
NFP,"Post-Short [+1,+3]",27.65,-2.49,56.7,60,1.21,4.32,0.68,5.58,8.55,4.78
NFP,"Post-Long [+1,+10]",10.47,-17.67,56.7,60,-6.9,-7.47,2.44,17.82,5.62,0.59
NFP,"Full [-2,+5]",4.14,-16.68,46.7,60,8.66,-11.97,11.62,3.87,-6.5,0.43
GDP,"Pre [-2,-1]",-2.35,-3.03,40.0,20,-1.11,1.18,-0.74,-1.98,0.32,-0.03
GDP,"Day-of [-1,+1]",8.43,-2.69,55.0,20,0.94,5.96,1.0,0.94,-1.33,0.78
GDP,"Post-Short [+1,+3]",3.54,-2.87,70.0,20,1.17,0.38,1.53,0.27,0.87,-0.73
GDP,"Post-Long [+1,+10]",20.81,-3.89,75.0,20,1.9,1.68,0.48,7.07,7.05,1.23
GDP,"Full [-2,+5]",13.48,-2.11,55.0,20,1.04,5.26,1.2,4.06,0.01,1.31
FOMC,"Pre [-2,-1]",2.12,-3.3,47.5,40,-0.58,0.61,2.04,2.76,-2.71,0.07
FOMC,"Day-of [-1,+1]",1.17,-10.53,50.0,40,2.35,-4.23,-0.17,0.69,4.03,-1.3
FOMC,"Post-Short [+1,+3]",1.44,-4.76,57.5,40,-2.1,-0.88,2.51,-2.33,4.76,-0.32
FOMC,"Post-Long [+1,+10]",37.73,-4.57,70.0,40,3.01,7.87,5.96,2.61,11.31,2.43
FOMC,"Full [-2,+5]",9.94,-10.35,60.0,40,-0.55,-1.65,2.13,4.76,4.84,0.2
