Strategy,Total Return %,Max Drawdown %,Trades,2021,2022,2023,2024,2025,2026
Buy & Hold,61.82,-26.4,0,2.22,-12.35,20.31,18.85,23.01,2.68
"SMA(9,21)",41.17,-13.04,31,-1.85,3.01,5.53,14.35,13.67,1.8
"SMA(20,50)",-5.65,-24.32,17,-3.59,-13.38,10.47,5.6,-4.23,1.12
"SMA(50,200)",50.25,-16.01,3,0.0,-2.68,11.08,18.85,23.01,-4.94
"SMA(9,50)",5.53,-22.46,18,-2.82,-12.45,10.75,8.44,3.12,0.15
"SMA(21,200)",45.46,-16.01,3,0.0,-3.52,10.68,18.85,23.01,-6.83
"EMA(9,21)",27.08,-15.5,31,-1.33,-0.89,12.22,4.5,14.29,-3.03
"EMA(20,50)",17.52,-22.37,12,-5.44,-10.65,19.3,12.75,2.54,0.85
"EMA(50,200)",49.09,-16.01,4,-5.36,-6.54,12.28,18.85,23.01,2.68
"EMA(9,50)",15.92,-21.58,17,-3.22,-11.12,11.7,14.48,4.74,0.62
"EMA(21,200)",36.82,-16.01,7,-6.83,-6.96,14.02,18.85,23.01,-5.32
