Strategy,Total Return %,Max Drawdown %,Trades,2021,2022,2023,2024,2025,2026
Buy & Hold,46.55,-21.94,0,5.1,-8.78,13.7,12.88,12.97,5.42
"SMA(9,21)",12.24,-21.08,29,3.92,-7.39,8.9,0.32,1.45,5.22
"SMA(20,50)",2.27,-18.78,15,-3.38,-9.51,2.96,6.62,4.17,2.29
"SMA(50,200)",30.16,-16.37,3,0.0,-2.41,11.58,12.88,0.45,5.42
"SMA(9,50)",3.07,-22.89,19,-6.17,-10.23,2.82,7.08,6.95,3.91
"SMA(21,200)",30.6,-10.01,4,0.0,-1.19,8.91,12.88,8.29,-0.72
"EMA(9,21)",25.57,-15.18,22,-2.15,-4.45,11.69,2.29,9.7,7.15
"EMA(20,50)",6.49,-21.11,15,-4.4,-12.67,4.46,9.18,9.88,1.79
"EMA(50,200)",19.33,-18.72,6,3.28,-12.22,4.72,12.88,5.63,5.42
"EMA(9,50)",18.56,-14.81,21,-2.17,-7.25,6.29,6.03,11.31,4.16
"EMA(21,200)",17.34,-15.37,7,0.5,-6.03,2.14,12.88,2.22,5.42
