Ticker,Strategy,Total Return %,Max Drawdown %,Trades,2021,2022,2023,2024,2025,2026
ADS.DE,Buy & Hold,-38.92,-71.54,0,-18.82,-48.72,45.09,28.98,-27.95,8.84
ADS.DE,"SMA(9,21)",-19.75,-44.06,32,-0.58,-29.88,3.49,-1.69,-5.11,19.25
ADS.DE,"SMA(20,50)",-30.62,-47.38,14,-12.34,-9.43,13.37,-4.99,-25.31,8.63
ADS.DE,"SMA(50,200)",36.5,-29.25,2,0.0,0.0,25.38,28.98,-16.15,0.67
ADS.DE,"SMA(9,50)",-43.15,-56.42,17,-13.12,-13.02,-3.39,-12.65,-14.65,4.44
ADS.DE,"SMA(21,200)",29.3,-16.58,5,0.0,0.0,13.75,15.54,-6.25,4.94
ADS.DE,"EMA(9,21)",-33.2,-50.16,31,-12.26,-25.16,11.49,3.85,-14.96,3.32
ADS.DE,"EMA(20,50)",17.73,-38.55,10,-6.01,0.0,34.1,-7.73,-19.28,25.42
ADS.DE,"EMA(50,200)",4.55,-30.24,3,-10.19,0.0,15.51,28.98,-21.39,-0.61
ADS.DE,"EMA(9,50)",-12.87,-45.28,22,-10.66,-5.33,21.6,-8.72,-16.69,11.41
ADS.DE,"EMA(21,200)",34.59,-16.63,3,-6.01,0.0,12.9,28.98,-6.29,4.94
AIR.DE,Buy & Hold,92.8,-27.72,0,0.88,1.13,27.57,12.18,31.15,0.69
AIR.DE,"SMA(9,21)",-6.78,-32.45,36,-13.08,-6.49,0.75,-7.67,9.93,12.16
AIR.DE,"SMA(20,50)",37.66,-24.67,14,-4.48,-15.59,15.93,19.86,25.08,-1.77
AIR.DE,"SMA(50,200)",34.24,-32.76,2,0.0,3.71,27.57,-4.75,31.15,-18.78
AIR.DE,"SMA(9,50)",49.79,-29.88,15,-6.74,-16.47,21.07,16.82,35.93,0.02
AIR.DE,"SMA(21,200)",16.83,-31.16,6,0.0,-5.3,24.53,-2.49,17.49,-13.53
AIR.DE,"EMA(9,21)",-4.12,-39.6,33,-11.58,-17.23,5.5,9.35,13.2,0.32
AIR.DE,"EMA(20,50)",7.65,-38.24,15,-7.34,-26.99,19.71,21.63,16.67,-6.33
AIR.DE,"EMA(50,200)",-4.71,-35.86,5,-14.41,-21.0,27.57,-3.93,31.15,-12.33
AIR.DE,"EMA(9,50)",15.12,-35.22,18,-6.72,-19.57,23.91,12.11,24.41,-11.22
AIR.DE,"EMA(21,200)",-16.25,-37.25,10,-8.48,-27.21,27.57,-5.38,14.0,-8.64
ALV.DE,Buy & Hold,157.18,-27.52,0,-0.62,1.9,26.98,28.82,37.66,12.77
ALV.DE,"SMA(9,21)",45.35,-25.04,30,0.51,8.77,10.25,20.83,4.57,-4.56
ALV.DE,"SMA(20,50)",66.18,-20.14,14,1.09,3.53,6.82,8.07,25.22,9.85
ALV.DE,"SMA(50,200)",121.39,-16.02,2,0.0,-12.82,26.98,28.82,37.66,12.77
ALV.DE,"SMA(9,50)",46.44,-22.42,20,2.43,7.48,6.15,14.27,6.46,3.01
ALV.DE,"SMA(21,200)",115.36,-12.98,3,0.0,-6.37,26.98,28.82,37.66,2.14
ALV.DE,"EMA(9,21)",44.45,-25.0,29,-9.82,15.64,12.8,15.85,5.31,0.66
ALV.DE,"EMA(20,50)",59.62,-18.29,13,-8.58,1.85,14.19,20.03,21.97,2.53
ALV.DE,"EMA(50,200)",121.69,-21.01,2,0.0,-12.71,26.98,28.82,37.66,12.77
ALV.DE,"EMA(9,50)",32.3,-24.3,21,-10.25,9.66,5.95,17.18,12.27,-3.56
ALV.DE,"EMA(21,200)",88.88,-25.83,5,-8.37,-15.6,26.98,28.82,37.66,8.45
BAS.DE,Buy & Hold,0.18,-39.76,0,-7.8,-19.48,13.17,-6.74,10.23,16.0
BAS.DE,"SMA(9,21)",-11.54,-32.71,39,-12.76,-12.19,-2.54,-2.54,-2.12,24.2
BAS.DE,"SMA(20,50)",-41.0,-46.86,16,0.0,-29.79,-1.58,1.1,-17.88,2.85
BAS.DE,"SMA(50,200)",-8.46,-36.21,8,0.0,-2.18,-2.48,-5.79,-12.19,16.0
BAS.DE,"SMA(9,50)",-23.33,-41.18,20,0.0,-22.84,-6.38,-8.48,-0.5,16.55
BAS.DE,"SMA(21,200)",-24.3,-42.92,8,0.0,-6.42,-0.57,-18.59,-13.85,16.0
BAS.DE,"EMA(9,21)",-20.18,-30.99,31,-4.72,2.37,-3.61,-7.74,-10.92,3.29
BAS.DE,"EMA(20,50)",-26.72,-39.96,14,-4.12,-12.62,-3.24,-12.38,-10.72,15.54
BAS.DE,"EMA(50,200)",-57.49,-64.72,12,-5.71,-18.29,-25.11,-18.67,-21.9,16.0
BAS.DE,"EMA(9,50)",-32.95,-41.55,22,-3.67,-7.98,-8.15,-13.6,-11.22,7.36
BAS.DE,"EMA(21,200)",-59.75,-66.79,13,-5.15,-24.82,-26.74,-17.08,-19.9,16.0
BAYN.DE,Buy & Hold,5.54,-70.42,0,-7.24,6.2,-27.5,-42.34,92.54,33.1
BAYN.DE,"SMA(9,21)",3.89,-53.89,33,4.16,3.96,-1.18,-37.04,27.84,20.63
BAYN.DE,"SMA(20,50)",-3.72,-52.58,15,-4.35,0.52,-9.9,-19.95,31.49,5.59
BAYN.DE,"SMA(50,200)",22.71,-43.41,4,0.0,-15.15,-11.17,-8.06,33.03,33.1
BAYN.DE,"SMA(9,50)",2.77,-46.49,16,-6.78,19.87,-14.22,-20.76,28.1,5.61
BAYN.DE,"SMA(21,200)",42.58,-35.89,4,0.0,-11.89,-5.32,-15.09,51.22,33.1
BAYN.DE,"EMA(9,21)",48.67,-45.37,25,-1.03,21.79,-3.6,-33.08,34.49,42.16
BAYN.DE,"EMA(20,50)",-12.86,-48.16,15,-9.09,2.39,-1.8,-19.49,16.6,1.56
