Ticker,Strategy,Total Return %,Max Drawdown %,Trades,2021,2022,2023,2024,2025,2026
AAPL,Buy & Hold,157.97,-33.36,0,43.3,-26.4,49.01,30.71,9.05,15.17
AAPL,"SMA(9,21)",36.72,-27.64,29,23.21,-25.83,19.75,14.95,-11.0,22.12
AAPL,"SMA(20,50)",38.29,-29.09,16,15.41,-22.84,17.89,21.95,5.01,2.86
AAPL,"SMA(50,200)",8.16,-29.87,5,0.0,-12.77,22.48,5.4,-16.6,15.17
AAPL,"SMA(9,50)",67.66,-25.2,20,17.32,-13.78,25.04,19.08,4.15,6.88
AAPL,"SMA(21,200)",50.9,-30.58,5,0.0,-15.27,25.76,16.32,5.71,15.17
AAPL,"EMA(9,21)",100.83,-25.41,26,37.21,-21.2,29.85,20.7,3.38,14.63
AAPL,"EMA(20,50)",83.8,-25.3,13,30.08,-13.3,17.88,30.41,4.01,1.93
AAPL,"EMA(50,200)",35.58,-36.5,5,42.41,-31.19,24.72,18.41,-18.65,15.17
AAPL,"EMA(9,50)",64.84,-26.6,22,32.87,-24.25,23.06,19.05,7.8,3.71
AAPL,"EMA(21,200)",85.62,-31.52,6,39.75,-24.97,24.45,17.69,4.94,15.17
AMGN,Buy & Hold,68.62,-24.86,0,-2.13,20.43,13.46,-6.77,29.67,4.3
AMGN,"SMA(9,21)",42.82,-19.41,34,6.04,16.52,10.24,-3.51,0.92,7.68
AMGN,"SMA(20,50)",38.59,-17.72,14,1.07,-0.45,15.59,3.29,12.93,2.16
AMGN,"SMA(50,200)",9.58,-32.6,5,0.0,16.01,-0.12,-3.2,-6.32,4.3
AMGN,"SMA(9,50)",42.99,-18.76,16,4.41,1.17,16.41,3.59,10.49,1.6
AMGN,"SMA(21,200)",-7.58,-35.67,7,0.0,5.95,1.82,-11.06,-7.64,4.3
AMGN,"EMA(9,21)",36.16,-17.25,27,2.75,0.89,15.97,-0.58,7.42,6.04
AMGN,"EMA(20,50)",33.16,-20.58,12,-1.08,5.84,18.68,4.44,-2.64,5.39
AMGN,"EMA(50,200)",14.3,-29.6,6,-5.04,21.75,-0.65,-0.69,-3.91,4.3
AMGN,"EMA(9,50)",35.79,-23.95,15,3.32,2.84,14.19,3.59,0.39,7.6
AMGN,"EMA(21,200)",11.45,-28.2,7,-2.33,7.62,4.1,3.69,-5.82,4.3
AMZN,Buy & Hold,70.26,-56.15,0,3.59,-49.62,80.88,44.39,5.21,18.71
AMZN,"SMA(9,21)",4.14,-35.63,32,1.13,-26.65,25.84,17.38,-6.86,2.04
AMZN,"SMA(20,50)",7.8,-31.69,14,-8.87,-14.84,20.2,21.25,-3.24,-1.5
AMZN,"SMA(50,200)",39.27,-35.16,3,0.0,0.0,26.5,44.39,-16.94,-8.2
AMZN,"SMA(9,50)",44.72,-29.32,17,-11.31,4.32,34.25,29.46,-9.62,-0.42
AMZN,"SMA(21,200)",79.01,-23.63,4,0.0,0.0,33.99,43.38,-2.16,-4.77
AMZN,"EMA(9,21)",80.1,-38.19,23,-4.01,-17.92,42.12,30.4,3.24,19.48
AMZN,"EMA(20,50)",24.53,-42.18,15,-10.16,-18.17,26.97,38.21,-6.54,3.28
AMZN,"EMA(50,200)",48.7,-30.17,5,0.14,-6.25,23.76,44.39,-10.53,-0.93
AMZN,"EMA(9,50)",45.6,-31.82,19,-10.45,-7.72,34.7,34.6,-9.06,6.85
AMZN,"EMA(21,200)",67.81,-22.53,6,-3.95,-2.5,31.55,44.39,-0.45,-5.24
AXP,Buy & Hold,104.46,-31.55,0,0.41,-8.52,28.67,60.32,25.99,-14.36
AXP,"SMA(9,21)",5.84,-42.34,33,-2.84,-30.19,31.94,7.18,1.86,8.33
AXP,"SMA(20,50)",23.95,-30.38,13,-17.29,-1.96,0.9,47.21,7.12,-3.93
AXP,"SMA(50,200)",8.01,-29.22,4,0.0,-8.3,-12.87,60.32,3.06,-18.19
AXP,"SMA(9,50)",22.52,-41.59,16,-14.93,-26.1,21.89,41.13,24.88,-9.29
AXP,"SMA(21,200)",18.17,-33.93,5,0.0,-7.8,-12.9,60.32,12.56,-18.46
AXP,"EMA(9,21)",91.51,-28.12,23,-1.04,-15.37,37.96,35.58,28.24,-4.68
AXP,"EMA(20,50)",26.39,-46.05,13,-17.14,-30.76,16.03,60.32,24.14,-4.59
AXP,"EMA(50,200)",9.24,-40.42,7,-7.5,-11.12,-13.98,60.32,20.58,-20.1
AXP,"EMA(9,50)",24.7,-46.53,19,-13.1,-33.14,22.06,47.07,30.87,-8.65
AXP,"EMA(21,200)",-12.28,-45.68,9,-16.75,-16.7,-9.56,60.32,3.48,-15.69
BA,Buy & Hold,-10.19,-54.67,0,-20.97,-5.38,36.84,-32.1,22.67,5.37
BA,"SMA(9,21)",-12.35,-55.73,31,-15.62,32.81,47.06,-32.5,-27.34,8.45
BA,"SMA(20,50)",-12.51,-34.22,13,-1.13,-7.58,17.94,-19.93,-3.94,5.55
BA,"SMA(50,200)",-24.39,-55.46,4,0.0,2.27,-2.37,-23.85,13.47,-12.36
BA,"SMA(9,50)",3.85,-47.9,17,-13.03,21.32,39.03,-30.06,-5.89,7.55
BA,"SMA(21,200)",-17.44,-43.82,6,0.0,10.15,11.42,-20.73,-9.03,-6.71
