Section,Rank,Day,Avg Return %,Win Rate %,Median Return %,Std Dev %,Count,Month,Strategy,Total Return %,# Trades,vs B&H (pp)
Day of Week,1.0,Wednesday,0.0829,54.37,0.0882,1.0737,515.0,,,,,
Day of Week,2.0,Monday,0.063,57.91,0.1068,1.2444,468.0,,,,,
Day of Week,3.0,Friday,0.0581,56.61,0.0881,1.0883,507.0,,,,,
Day of Week,4.0,Tuesday,0.0426,50.68,0.0098,1.0518,517.0,,,,,
Day of Week,5.0,Thursday,-0.0054,53.16,0.0451,1.091,506.0,,,,,
Month of Year,1.0,,0.2152,61.46,0.1352,0.9088,205.0,Nov,,,,
Month of Year,2.0,,0.1388,60.48,0.1488,0.6752,210.0,Jul,,,,
Month of Year,3.0,,0.0866,55.67,0.1142,0.7931,203.0,Jan,,,,
Month of Year,4.0,,0.074,50.49,0.0085,1.3984,206.0,Apr,,,,
Month of Year,5.0,,0.0684,54.76,0.0436,1.0399,210.0,Jun,,,,
Month of Year,6.0,,0.0603,52.04,0.0852,0.9162,221.0,Oct,,,,
Month of Year,7.0,,0.0362,55.16,0.0743,0.7869,223.0,Aug,,,,
Month of Year,8.0,,0.0326,52.36,0.0231,0.9829,212.0,May,,,,
Month of Year,9.0,,0.0133,53.59,0.0834,0.8672,209.0,Dec,,,,
Month of Year,10.0,,-0.0478,54.41,0.0836,0.8277,204.0,Sep,,,,
Month of Year,11.0,,-0.0505,56.02,0.0652,1.0572,191.0,Feb,,,,
Month of Year,12.0,,-0.0513,47.95,-0.0389,2.1667,219.0,Mar,,,,
Strategy Comparison,,,,53.0,,,,,Best Day (Wednesday),17.12,515.0,-169.74
Strategy Comparison,,,,90.0,,,,,Best Month (Nov),50.14,10.0,-136.73
Strategy Comparison,,,,—,,,,,Buy & Hold,186.87,1.0,0.0
